timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
89230749,0.03314539,-0.0017025196,0.013470458,4987,0,0.7810063,-0.021367118,-9.842116,4903,0,0,2,1
89235737,0.03047357,-0.0005258299,0.0044382275,4988,0,0.77350366,-0.036754172,-9.829169,4905,0,0,2,1
89240725,0.033510793,-0.00017635996,0.005720261,4988,0,0.7396949,-0.03554911,-9.791329,4904,0,0,2,1
89245712,0.031597346,0.0043851975,0.0096947225,4987,0,0.7941945,-0.07865811,-9.816726,4903,0,0,2,1
89250702,0.0353773,-0.00779065,0.008455774,4990,0,0.7904404,-0.08636731,-9.809306,4904,0,0,2,1
89255688,0.029997483,0.0015892026,0.008259307,4986,0,0.77915126,-0.07862213,-9.818602,4903,0,0,2,1
89260675,0.029887421,-0.00078356435,0.004007637,4987,0,0.7885555,-0.08051852,-9.818659,7356,0,0,2,1
89265663,0.026369993,0.0003707795,0.0020079196,4988,0,0.7998259,-0.09742007,-9.826519,4903,0,0,2,1
89270650,0.02621695,0.0025427872,0.008546526,4987,0,0.792288,-0.09142952,-9.843409,4904,0,0,2,1
89275638,0.02093184,-0.0021378784,-0.0035728428,4988,0,0.7922738,-0.07790121,-9.858275,4903,0,0,2,1
89280626,0.027865153,0.0032280555,0.0060006594,4988,0,0.79042184,-0.093599275,-9.828327,4903,0,0,2,1
89285613,0.026691202,-0.002544866,0.004138618,4987,0,0.7753916,-0.091878615,-9.818839,4903,0,0,2,1
89290601,0.023704195,0.00020816959,-0.0007626207,4988,0,0.77536345,-0.10461606,-9.847411,4904,0,0,2,1
89295588,0.02381393,0.0019049499,0.0026240547,4987,0,0.7904065,-0.076246254,-9.845018,4904,0,0,2,1
89300576,0.01710929,0.0063080285,0.009476351,4988,0,0.792286,-0.09136238,-9.84718,4903,0,0,2,1
89305564,0.015502579,0.0036532327,0.00021347072,4988,0,0.78103423,-0.10330673,-9.815273,4904,0,0,2,1
89310551,0.013059139,0.0040576383,0.0072016283,4987,0,0.7791427,-0.11445989,-9.826807,4903,0,0,2,1
89315539,0.010236724,0.0031428232,0.0077738217,4988,0,0.7847707,-0.12179602,-9.840174,4904,0,0,2,1
89320527,0.009435836,0.008826558,0.00574714,4988,0,0.7772716,-0.13735734,-9.817779,4904,0,0,2,1
89325514,0.00868725,0.0006661799,0.0033614303,4987,0,0.7716353,-0.11659638,-9.813618,4904,0,0,2,1
89330502,0.004913287,0.006230573,0.010818313,4988,0,0.7866732,-0.07865539,-9.81672,4904,0,0,2,1
